,district,estamps_challans_rev,cat_segments
0,Adilabad,693556767,medium
1,Bhadradri Kothagudem,532548442,low
2,Hanumakonda,4930453019,high
3,Hyderabad,23902497868,high
4,Jagtial,1015854651,medium
5,Jangoan,706701596,medium
6,Jogulamba Gadwal,613831979,low
7,Kamareddy,842152448,medium
8,Karimnagar,2543393729,medium
9,Khammam,3652373063,high
10,Kumurambheem Asifabad,124753459,low
11,Mahabubabad,676293913,low
12,Mahabubnagar,1956397969,medium
13,Mancherial,1065762897,medium
14,Medak,1073720325,medium
15,Medchal_Malkajgiri,41680924859,high
16,Mulugu,352409622,low
17,Nagarkurnool,849387306,medium
18,Nalgonda,2615991115,medium
19,Narayanpet,452592565,low
20,Nirmal,607442237,low
21,Nizamabad,2619172847,high
22,Peddapalli,1105363908,medium
23,Rajanna Sircilla,696745057,medium
24,Rangareddy,69624637386,high
25,Sangareddy,14320890271,high
26,Siddipet,1637765232,medium
27,Suryapet,1792892947,medium
28,Vikarabad,861877771,medium
29,Wanaparthy,696178925,medium
30,Warangal,415047454,low
31,Yadadri Bhuvanagiri,3520679984,high
